"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.5792941025,       3.221125468,      0.5511621675,       6.104672865
          0,           0,           1,      0.5560603368,       3.199907192,       1.618247469,       6.082778309
          0,           0,           2,      0.5374274787,       3.188153569,       1.426779243,       6.064987587
          0,           0,           3,      0.5164896609,       3.177402758,       1.434672596,       6.043745258
          0,           0,           4,      0.4933506924,       3.165842595,       1.499725597,       6.019018989
          0,           0,           5,      0.4653706724,       3.150031316,        1.58841275,       5.988523059
          0,           0,           6,      0.4270576885,       3.124078268,       1.691099655,       5.946573379
          0,           0,           7,      0.3734512987,       3.081775379,       1.795667912,       5.887932272
          0,           0,           8,      0.3120893336,       3.022965887,       1.892279047,       5.819668849
          0,           0,           9,      0.2483524699,       2.951908025,         1.9836885,       5.749012597
          0,           0,          10,      0.1825155554,       2.874381574,       2.056104666,       5.678247908
          0,           0,          11,      0.1229329298,        2.79727238,        2.11357622,       5.619267053
          0,           0,          12,     0.07703867525,       2.726498101,       2.158971902,       5.581030557
          0,           0,          13,     0.04431319345,       2.662501806,       2.191962342,       5.560375097
          0,           0,          14,     0.01190505728,       2.595232284,        2.21813252,       5.538417829
          0,           0,          15,    -0.02126433375,       2.514478878,       2.236506211,       5.512218623
          0,           0,          16,    -0.04061631313,       2.443624705,       2.245249932,       5.496848208
          0,           0,          17,    -0.04242348369,       2.404082104,       2.251695881,       5.491617322
          0,           0,          18,    -0.03353318051,       2.380964595,       2.248049012,       5.487257186
          0,           0,          19,    -0.01962827622,       2.358915077,       2.236217192,       5.487255601
          0,           0,          20,   -0.008586900141,       2.349189461,        2.22266645,       5.492594872
          0,           0,          21,    -0.03140682357,       2.303904596,       2.079747888,       5.443756475
          0,           0,          22,      -0.043111299,       2.279957166,       1.971235885,       5.417664652
          0,           0,          23,    -0.04826123919,       2.273761416,       1.902204924,       5.407260072
          0,           0,          24,    -0.04982777186,       2.275139203,       1.860144899,       5.404772737
          0,           0,          25,     -0.0492647606,       2.280037928,       1.841939675,       5.405680772
          0,           0,          26,    -0.04676290424,       2.288528932,       1.843901878,       5.409840414
          0,           0,          27,    -0.04230490608,       2.303390273,       1.857528628,       5.418287012
          0,           0,          28,    -0.03646822087,       2.323639148,       1.880117281,       5.429756857
          0,           0,          29,    -0.03011995256,       2.347591073,       1.911256026,       5.441923064
          0,           0,          30,    -0.02386614642,       2.373675279,        1.94519692,       5.453181007
          0,           0,          31,    -0.01789379712,       2.402818595,       1.975804323,       5.463335003
          0,           0,          32,    -0.01269262222,       2.430320399,       2.016582184,       5.471331177
          0,           0,          33,   -0.007532358708,       2.458157137,       2.046069367,        5.48032387
          0,           0,          34,   -0.001594235743,       2.493071332,       2.054403502,       5.490697933
          0,           0,          35,     0.00569680885,       2.528953223,       2.100538508,       5.505240425
          0,           0,          36,     0.01208700624,       2.572200496,       2.128448305,       5.522402654
          0,           0,          37,    0.009513460443,       2.606167891,       2.144858063,        5.52305067
          0,           0,          38,   -0.002461204753,       2.635380158,       2.212026834,       5.518249096
          0,           0,          39,    -0.03138062941,       2.673728657,       2.230663182,       5.495894376
          0,           0,          40,    -0.07550290646,        2.72039426,       2.237748437,       5.463914505
          0,           0,          41,     -0.1307448268,       2.762370648,       2.270307655,       5.436710548
          0,           0,          42,     -0.1942914493,       2.778333114,       2.285035144,       5.425786114
          0,           0,          43,     -0.2153113937,       2.763408661,       2.195830085,       5.387812497
          0,           0,          44,     -0.2250196199,       2.758305429,       2.142721833,       5.373151341
          0,           0,          45,     -0.2360878384,       2.746977466,       2.139170004,       5.361720101
          0,           0,          46,     -0.2426539773,       2.736585121,       2.136239094,       5.358002963
          0,           0,          47,     -0.2403992864,       2.735062012,       2.127568548,       5.369077318
          0,           0,          48,     -0.2354662403,       2.736610236,       2.119532605,       5.378274039
          0,           0,          49,     -0.2382326991,       2.725395144,       2.102237822,       5.372072023
          0,           0,          50,     -0.2391501424,       2.700513376,       2.102006206,       5.368303745
          0,           0,          51,     -0.2229807846,       2.693741944,       2.106924515,        5.38855703
          0,           0,          52,     -0.2078268928,       2.693957687,       2.082008161,       5.409660095
          0,           0,          53,     -0.2074876774,       2.672857063,       2.060079357,       5.406534913
          0,           0,          54,     -0.2007457863,       2.644533067,       2.088420703,       5.410804747
          0,           0,          55,     -0.1970673176,       2.622027096,       2.142105102,       5.413341442
          0,           0,          56,     -0.1885351798,       2.629305096,       2.161996217,       5.426382684
          0,           0,          57,     -0.1879067504,       2.624760477,       2.126952986,       5.429212116
          0,           0,          58,     -0.2105991401,       2.572959247,       2.131060162,       5.402730826
          0,           0,          59,     -0.2210513962,       2.558107787,       2.165940348,       5.393199857
          0,           0,          60,     -0.2323488526,       2.570775335,       2.161089823,       5.387378707
          0,           0,          61,      -0.251130385,       2.551847074,         2.1390801,       5.369013143
          0,           0,          62,     -0.2896046723,       2.488490118,        2.11693305,       5.324092123
          0,           0,          63,     -0.3018256972,       2.467483206,       2.109094514,       5.313452421
          0,           0,          64,     -0.3061730349,       2.471806931,       2.104885822,       5.310913584
          0,           0,          65,     -0.3170525406,       2.443431097,       2.071964077,       5.291441053
          0,           0,          66,     -0.3679522672,        2.36968846,       1.977719436,       5.232861169
          0,           0,          67,     -0.4031045144,       2.311254674,       1.910405804,       5.192840018
          0,           0,          68,      -0.424291023,       2.269529205,       1.860399976,       5.168007921
          0,           0,          69,     -0.4371290744,       2.245313339,       1.810990439,       5.152419708
          0,           0,          70,     -0.4500601338,       2.223662272,       1.770632308,       5.136006533
          0,           0,          71,     -0.4608312176,       2.204195935,       1.747143339,       5.124263437
          0,           0,          72,     -0.4660338563,        2.18870768,       1.737437694,       5.118016566
          0,           0,          73,     -0.4664157004,       2.177385678,       1.736310495,       5.116488564
          0,           0,          74,     -0.4646100853,       2.171693489,       1.742983308,       5.116237994
          0,           0,          75,     -0.4601823366,       2.170321679,       1.756637063,       5.119010675
          0,           0,          76,     -0.4531545504,        2.17509884,       1.768488348,       5.124022282
          0,           0,          77,     -0.4482493809,       2.182432659,       1.769287092,       5.126293414
          0,           0,          78,      -0.452023446,       2.185508516,       1.776438151,       5.119241107
          0,           0,          79,     -0.4573933993,       2.199808263,        1.79085496,       5.112295679
          0,           0,          80,      -0.471775851,       2.225791193,       1.799133717,       5.096466903
          0,           0,          81,     -0.5000990162,       2.241103152,       1.804234668,       5.068870033
          0,           0,          82,     -0.5161500907,        2.25495684,       1.812999044,       5.056115967
          0,           0,          83,     -0.5337210187,       2.241551698,       1.811157012,       5.038361665
          0,           0,          84,     -0.5249396292,       2.249498265,       1.830534416,       5.044860627
          0,           0,          85,      -0.511535626,       2.253249855,       1.850772227,       5.054995332
