"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.2413280367,       2.817343149,      0.6580357153,        5.69762459
          0,           0,           1,     -0.6386375546,       2.551673271,       1.488425052,       5.417813457
          0,           0,           2,      -0.617405255,        2.27027346,       1.595544124,       5.176787274
          0,           0,           3,     -0.5995316788,       2.330698455,       1.664921055,        5.21672258
          0,           0,           4,     -0.6638661007,       2.218827856,       1.703065436,       5.066088615
          0,           0,           5,     -0.5965266062,       2.154922483,       1.712728928,       5.026314695
          0,           0,           6,     -0.5173803243,       2.221070377,       1.704103877,       5.071428559
          0,           0,           7,     -0.5329111207,       2.171712834,       1.719139533,       5.024029328
          0,           0,           8,      -0.569182509,       2.126241619,       1.731133993,       4.969296281
          0,           0,           9,     -0.6174010262,       2.087489736,       1.725607123,       4.923356812
          0,           0,          10,      -0.671336341,       2.052340314,       1.706724725,       4.896689326
          0,           0,          11,     -0.6973623787,        2.04511768,       1.680295404,        4.90345732
          0,           0,          12,     -0.6956740586,       2.053881009,        1.68655984,       4.934572463
          0,           0,          13,     -0.6937563226,       2.053741866,       1.677409208,        4.94564916
          0,           0,          14,      -0.724238001,       2.031198518,       1.676088277,       4.911038156
          0,           0,          15,     -0.7250394304,       2.008279337,       1.633252385,       4.889377549
          0,           0,          16,     -0.7145935108,       1.988412785,       1.601416517,         4.8881403
          0,           0,          17,     -0.6906493823,       2.002099872,       1.560681899,       4.893476128
          0,           0,          18,     -0.6758810262,       2.043609021,       1.507000292,       4.898870191
          0,           0,          19,     -0.6997333277,       2.019395839,       1.479192072,       4.858361254
          0,           0,          20,     -0.7262356173,       1.921325736,        1.46818569,       4.822617815
          0,           0,          21,     -0.7109538745,       1.930022864,       1.455031573,       4.843839379
          0,           0,          22,     -0.7171914024,       1.970259943,       1.450098708,        4.84515395
          0,           0,          23,     -0.7347523202,       2.004464625,       1.451226795,       4.843222313
          0,           0,          24,      -0.798007827,       1.874417799,       1.450723419,       4.750658708
          0,           0,          25,     -0.8043653845,       1.850538324,       1.454746721,       4.744725098
          0,           0,          26,     -0.8071200495,       1.880976138,       1.464367178,       4.754554312
          0,           0,          27,     -0.8475047668,       1.851905646,       1.466434422,       4.700559861
          0,           0,          28,     -0.8715519407,          1.835161,       1.462276027,       4.678511381
          0,           0,          29,     -0.8942182615,       1.817182338,       1.461192822,       4.646347801
          0,           0,          30,     -0.9059767131,       1.816627026,       1.453564436,       4.640016616
          0,           0,          31,     -0.9153864463,       1.815054352,       1.445729154,       4.638767515
          0,           0,          32,      -0.918941023,       1.816819633,       1.438084332,       4.643142372
          0,           0,          33,     -0.9187885282,       1.818028245,       1.428193843,       4.648638647
          0,           0,          34,     -0.9189319028,       1.815786253,       1.417915033,       4.648581452
          0,           0,          35,     -0.9212495642,       1.810847294,       1.407027557,       4.647025888
          0,           0,          36,      -0.927030976,       1.803991139,       1.395156912,       4.642567138
          0,           0,          37,     -0.9396064234,       1.792281102,       1.378033168,       4.629546499
          0,           0,          38,     -0.9561716634,       1.780524052,       1.364122713,       4.614317308
          0,           0,          39,     -0.9736917476,       1.771941962,       1.352554523,       4.601452902
          0,           0,          40,     -0.9883460826,       1.770284002,       1.342783244,       4.599760013
          0,           0,          41,     -0.9979176938,       1.756173835,       1.332705393,       4.574829541
          0,           0,          42,      -1.006128803,       1.744048093,        1.32842884,       4.551556852
          0,           0,          43,      -1.011943478,       1.734678547,       1.325974937,       4.532289791
          0,           0,          44,       -1.01483852,       1.728306263,       1.323957651,       4.518733498
          0,           0,          45,      -1.015379182,       1.724573594,       1.322943818,       4.510569561
          0,           0,          46,      -1.014565606,       1.722188515,       1.324255769,       4.505522415
          0,           0,          47,      -1.013116978,       1.720881896,       1.328241299,       4.502240814
          0,           0,          48,       -1.01108508,       1.720452329,       1.334065385,        4.50092594
          0,           0,          49,      -1.008227708,       1.721263078,       1.340814235,       4.501622788
          0,           0,          50,      -1.004560303,       1.723551258,       1.347951722,       4.504259784
          0,           0,          51,      -1.000136372,       1.727197151,       1.355078976,       4.508747879
          0,           0,          52,     -0.9947933336,       1.732643245,       1.361571595,       4.515580751
          0,           0,          53,     -0.9886289745,       1.740000952,       1.366688012,       4.524893602
          0,           0,          54,     -0.9821409333,       1.749174615,        1.36974729,       4.536955896
          0,           0,          55,     -0.9761143382,       1.759764324,       1.370687343,       4.551343923
          0,           0,          56,     -0.9712768787,       1.770921082,       1.369612179,       4.566713682
          0,           0,          57,     -0.9687309631,       1.781368221,       1.367178472,       4.580790796
          0,           0,          58,     -0.9687705902,       1.789672744,       1.363817497,       4.591558567
          0,           0,          59,      -0.970643994,       1.795282573,       1.360837383,       4.598672585
          0,           0,          60,     -0.9744878704,       1.797541643,       1.358837913,       4.601453538
          0,           0,          61,     -0.9799097279,       1.797865816,        1.35741083,       4.602113204
          0,           0,          62,     -0.9872487151,       1.796737434,       1.355638524,       4.601724075
          0,           0,          63,     -0.9964231499,       1.795421254,       1.352912273,       4.601606995
          0,           0,          64,      -1.006900474,       1.794076086,       1.347258357,       4.602129287
          0,           0,          65,      -1.017612829,       1.792044712,       1.337734068,       4.603115491
          0,           0,          66,       -1.02416106,       1.783701693,       1.330303616,        4.58787251
          0,           0,          67,      -1.030104244,       1.776621906,       1.328966985,       4.573839632
          0,           0,          68,      -1.034751445,       1.770704644,       1.330358212,       4.561623719
          0,           0,          69,      -1.037385509,       1.766119883,       1.332632814,       4.552069402
          0,           0,          70,      -1.037910074,       1.762736439,       1.336035918,        4.54510094
          0,           0,          71,      -1.036861063,       1.759937592,       1.341194552,       4.539479273
          0,           0,          72,      -1.034738324,       1.757622269,       1.348154627,       4.534610161
          0,           0,          73,      -1.031567442,       1.755878198,       1.356152186,       4.530688702
          0,           0,          74,      -1.027220973,       1.754988291,       1.364230871,        4.52842672
          0,           0,          75,      -1.021959932,       1.755159379,       1.372062612,       4.527913911
          0,           0,          76,      -1.015962536,       1.756850459,       1.379515162,       4.529676667
          0,           0,          77,      -1.009435326,       1.760884987,       1.386231397,       4.534880464
          0,           0,          78,      -1.002986328,       1.767496327,       1.391913912,       4.543831804
          0,           0,          79,     -0.9973520731,       1.776553774,       1.396359545,       4.556025868
          0,           0,          80,     -0.9928877516,       1.787775624,       1.399033696,        4.57123428
          0,           0,          81,     -0.9903087823,       1.799951158,       1.400168909,       4.587775396
          0,           0,          82,     -0.9899788593,        1.81160521,       1.399785132,       4.603151086
          0,           0,          83,     -0.9918423628,       1.821185201,        1.39831289,       4.615509553
          0,           0,          84,     -0.9954467895,       1.827683594,       1.396088593,       4.623660128
          0,           0,          85,      -1.000510999,       1.830795337,       1.393183434,       4.627538192
          0,           0,          86,      -1.006638745,       1.831628739,       1.389587001,       4.628844828
          0,           0,          87,      -1.014286098,       1.831150916,       1.384694339,       4.628923677
          0,           0,          88,      -1.024271949,       1.829853532,       1.377929114,       4.628626309
          0,           0,          89,       -1.03784711,       1.828139553,       1.368382916,       4.628345013
          0,           0,          90,      -1.056137466,        1.82539137,       1.355042531,       4.627511473
          0,           0,          91,      -1.078411212,       1.821505858,       1.338190829,       4.626437429
          0,           0,          92,      -1.103372393,       1.814502303,       1.318977268,       4.623627868
          0,           0,          93,      -1.128471338,       1.802343888,       1.296890003,       4.617276648
          0,           0,          94,      -1.155069968,       1.785028978,       1.270547562,       4.607462243
          0,           0,          95,      -1.186937381,       1.762111697,        1.24243772,        4.59358323
          0,           0,          96,      -1.216189808,       1.734213102,       1.216163461,        4.57963853
