VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       1.427139127,       4.137439799,       3.647938357,        6.94135612
          0,           0,           1,       1.427433395,       4.155481191,       3.648181255,        7.26689067
          0,           0,           2,       1.428328949,       4.263189113,       3.648617727,       7.699163327
          0,           0,           3,       1.430091869,       4.386807482,       3.649666083,       7.919294829
          0,           0,           4,       1.433526547,       4.523308687,       3.650880791,        8.10224462
          0,           0,           5,       1.435368062,       4.587590197,       3.652497189,       8.197439606
          0,           0,           6,        1.43452094,        4.59361908,       3.652655078,       8.236155286
          0,           0,           7,       1.433420271,       4.590387399,       3.652163377,       8.265467682
          0,           0,           8,       1.432502597,       4.586812063,       3.651784057,       8.293481956
          0,           0,           9,       1.431728742,       4.582915329,       3.651493827,       8.320555529
          0,           0,          10,       1.431071392,       4.578713621,       3.651277284,       8.346936992
          0,           0,          11,       1.430511216,       4.574223776,       3.651124386,       8.372771247
          0,           0,          12,       1.430033498,       4.569463963,       3.651027171,       8.398128989
          0,           0,          13,       1.429626459,       4.564452657,       3.650979229,       8.423038182
          0,           0,          14,       1.429280303,       4.559209848,       3.650975341,       8.447468728
          0,           0,          15,        1.42898607,        4.55375005,       3.651011387,       8.471409754
          0,           0,          16,       1.428736112,       4.548088062,       3.651083957,       8.494811543
          0,           0,          17,       1.428523428,       4.542233453,       3.651189968,       8.517652094
          0,           0,          18,       1.428341645,       4.536191763,       3.651326858,       8.539926885
          0,           0,          19,       1.428185055,       4.529966009,       3.651491961,       8.561647448
          0,           0,          20,       1.428048586,       4.523557973,       3.651682819,       8.582831061
          0,           0,          21,        1.42792771,       4.516969406,       3.651897124,       8.603493526
          0,           0,          22,       1.427818278,       4.510202255,       3.652132532,       8.623647154
          0,           0,          23,       1.427716384,       4.503258861,       3.652386552,       8.643302132
          0,           0,          24,       1.427618223,        4.49614193,       3.652656358,       8.662466128
          0,           0,          25,        1.42751996,       4.488854489,       3.652938593,       8.681144431
          0,           0,          26,       1.427417624,       4.481400039,       3.653229181,       8.699341138
          0,           0,          27,       1.427306959,       4.473782619,       3.653523014,        8.71705941
          0,           0,          28,       1.427183233,       4.466006887,       3.653813682,       8.734302016
          0,           0,          29,       1.427041212,        4.45807805,        3.65409338,       8.751071528
          0,           0,          30,       1.426875192,       4.450002044,       3.654352426,       8.767371668
          0,           0,          31,       1.426678151,        4.44178537,       3.654578822,       8.783207137
          0,           0,          32,        1.42644271,       4.433435053,       3.654757805,       8.798584027
          0,           0,          33,       1.426159541,       4.424958658,       3.654871249,       8.813511299
          0,           0,          34,       1.425818018,       4.416364263,        3.65489697,       8.828002024
          0,           0,          35,        1.42540563,       4.407660226,       3.654807979,       8.842074347
          0,           0,          36,       1.424907451,       4.398855419,       3.654571476,       8.855754834
          0,           0,          37,       1.424302168,       4.387692736,       3.654325224,       8.859085523
          0,           0,          38,       1.423604754,       4.380652667,       3.653472919,       8.878066433
          0,           0,          39,       1.422721577,       4.369396888,       3.652687237,        8.88164594
          0,           0,          40,       1.421684926,       4.362027164,       3.651125213,       8.898204279
          0,           0,          41,       1.420395738,       4.350687551,        3.64948787,       8.901695822
          0,           0,          42,       1.418866736,       4.342973943,       3.646833173,        8.91594407
          0,           0,          43,       1.416990354,       4.333445506,       3.643681416,       8.925132296
          0,           0,          44,       1.414725684,       4.321772518,       3.639852402,       8.926687833
          0,           0,          45,       1.412023442,       4.313582063,       3.634383873,       8.938545441
          0,           0,          46,       1.408739083,       4.301693711,        3.62806761,       8.939458232
          0,           0,          47,       1.404814743,       4.291026874,       3.619437994,       8.943854914
          0,           0,          48,       1.400075025,       4.268210845,       3.609332996,       8.916670806
          0,           0,          49,       1.394476073,       4.257112932,       3.596255632,       8.920144191
