"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       1.258812557,       3.636257488,      -5.318860368,       6.708198433
          0,           0,           1,       1.067654568,       3.418558904,       2.810431337,        6.50391502
          0,           0,           2,       0.890842613,       3.221002536,       2.914553123,       6.353933244
          0,           0,           3,      0.7507808558,       3.133098679,       2.923467648,       6.240274788
          0,           0,           4,      0.6963735201,       3.047590517,       2.908216379,       6.176134222
          0,           0,           5,      0.6615688879,       2.987714717,        2.89187709,       6.135539999
          0,           0,           6,      0.6245721707,       2.951078746,        2.87855458,       6.100660423
          0,           0,           7,      0.5908322303,       2.916673191,       2.868091223,        6.07085858
          0,           0,           8,      0.5623375704,       2.879360882,       2.860756583,       6.044956047
          0,           0,           9,      0.5402420509,       2.846245806,       2.858575006,       6.024922138
          0,           0,          10,      0.5218177463,       2.817325558,        2.86070214,       6.008730523
          0,           0,          11,      0.5057849903,       2.791499656,       2.864909085,       5.994986522
          0,           0,          12,      0.4922460365,       2.769626855,        2.86877861,       5.983472961
          0,           0,          13,       0.477578287,       2.751230931,       2.870550925,       5.970465799
          0,           0,          14,      0.4616838325,       2.739333327,       2.866560771,       5.953922907
          0,           0,          15,      0.4415166202,       2.745932945,       2.851255749,       5.930272685
          0,           0,          16,      0.4074273548,        2.76144672,       2.817390062,       5.895196294
          0,           0,          17,      0.3774168765,       2.780215563,        2.75590849,       5.845468602
          0,           0,          18,      0.4062447233,       2.804415144,       2.657288658,        5.83156653
          0,           0,          19,      0.3562703172,       2.802609773,       2.453691692,       5.748600661
          0,           0,          20,      0.3265103835,       2.794115046,       2.322506255,       5.675809532
          0,           0,          21,       0.303571394,       2.787573871,       2.238309879,       5.587521843
          0,           0,          22,      0.2945136401,       2.783355957,       2.166412338,       5.526464147
          0,           0,          23,      0.2968076738,       2.784269343,       2.083217589,        5.47858629
          0,           0,          24,      0.3037701394,       2.790191335,       1.987736488,       5.448767027
          0,           0,          25,      0.3159571185,       2.798123589,       1.951114866,       5.406589955
          0,           0,          26,      0.3281457997,       2.805151363,       2.006514587,       5.377194246
          0,           0,          27,      0.3373753657,       2.809942581,       2.058269065,       5.346985289
          0,           0,          28,      0.3431254179,       2.812255454,       2.053840392,       5.339148383
          0,           0,          29,      0.3480810129,       2.812957743,       1.997404816,       5.353471584
          0,           0,          30,       0.351328028,        2.81159155,       1.921196051,       5.350715322
          0,           0,          31,      0.3550657071,       2.808552931,       1.874684798,       5.352769508
          0,           0,          32,      0.3593125207,       2.805862254,       1.880320676,       5.400940534
          0,           0,          33,      0.3624248486,       2.804180842,       1.928190254,       5.449191328
          0,           0,          34,      0.3643858451,       2.802089413,       1.992709686,       5.494817654
          0,           0,          35,      0.3629763744,       2.798225985,       2.061149397,         5.5279338
          0,           0,          36,      0.3596238288,       2.795650913,       2.127101645,       5.565442353
          0,           0,          37,       0.355420392,       2.798670669,       2.190233685,       5.601501535
          0,           0,          38,      0.3524981046,       2.810664799,       2.245105851,       5.637688081
          0,           0,          39,      0.3565133044,       2.836759017,        2.29408639,       5.680408765
          0,           0,          40,      0.3901664876,       2.891474517,       2.342488328,       5.757502632
          0,           0,          41,      0.4700424278,       3.022750755,       2.405234064,       5.891840038
          0,           0,          42,      0.5389429351,       3.146482508,       2.463697561,       5.992410638
          0,           0,          43,      0.5284051262,       3.227375949,       2.501354298,       6.021860638
          0,           0,          44,      0.3883581583,       3.088120441,       2.466314399,       5.901841352
          0,           0,          45,      0.2918740576,       2.919655669,       2.393498225,       5.782954268
          0,           0,          46,      0.2112817161,       2.798309958,       2.338065897,       5.721151787
          0,           0,          47,      0.1353596768,       2.660652474,       2.129352661,       5.557038339
          0,           0,          48,     0.06524800842,        2.54897718,       1.981081386,        5.40316474
          0,           0,          49,     0.01377087705,       2.466983723,       1.876902986,       5.260573109
          0,           0,          50,    -0.01771835982,       2.432529541,       1.803700238,       5.177438541
          0,           0,          51,    -0.03483652319,        2.42886637,       1.743007236,       5.154137011
          0,           0,          52,    -0.04830850947,       2.424804299,       1.684699032,       5.132248747
          0,           0,          53,     -0.0615144655,       2.416242795,         1.6275764,       5.105754704
          0,           0,          54,    -0.07597011226,       2.404809597,       1.591888703,       5.083265842
          0,           0,          55,    -0.09217165024,       2.389780187,       1.573624471,       5.071626544
          0,           0,          56,     -0.1120717553,       2.370211898,       1.562449345,       5.075838243
          0,           0,          57,     -0.1370241733,       2.343086964,       1.564096791,       5.086693857
          0,           0,          58,     -0.1669309839,       2.309796291,       1.578662633,       5.097958521
          0,           0,          59,     -0.2046521757,       2.261171619,       1.599861635,       5.108804782
          0,           0,          60,     -0.2460851706,       2.207487099,       1.622644169,       5.116131133
          0,           0,          61,     -0.2897288222,       2.155333507,       1.648810644,       5.122290051
          0,           0,          62,     -0.3388297561,        2.11068562,       1.656771639,       5.125477889
          0,           0,          63,      -0.393432894,       2.075784414,       1.642617028,       5.124219824
          0,           0,          64,     -0.4456621035,       2.058056136,       1.626542892,       5.113918918
          0,           0,          65,     -0.4902986716,       2.056501596,       1.607308516,       5.101970623
          0,           0,          66,     -0.5272366971,       2.058955267,       1.594531168,       5.074741671
          0,           0,          67,      -0.556611599,       2.062581084,       1.585278139,       5.060888614
          0,           0,          68,     -0.5921716749,       2.050373851,       1.581409668,       5.040107543
          0,           0,          69,     -0.6277123505,       2.015839265,       1.566517448,       5.022040209
          0,           0,          70,     -0.6279577853,       2.018449952,       1.578042685,         5.0463254
          0,           0,          71,      -0.656861007,       1.900569044,       1.476470372,       4.920942266
          0,           0,          72,     -0.6683701391,       1.815461495,       1.396380723,       4.817025984
          0,           0,          73,     -0.6756665061,       1.753575222,        1.30252105,       4.736543415
          0,           0,          74,     -0.6862128966,       1.714851215,       1.202229387,       4.686478095
          0,           0,          75,     -0.7039835376,       1.693308909,       1.135425662,         4.6611858
          0,           0,          76,     -0.7284579528,       1.681601206,       1.113180949,       4.653307676
          0,           0,          77,     -0.7562652606,       1.674314004,       1.105222197,       4.653849348
          0,           0,          78,     -0.7830532268,       1.668950191,       1.099503135,       4.655402989
          0,           0,          79,     -0.8065213305,       1.663430571,       1.094706063,       4.655002692
          0,           0,          80,     -0.8266425007,       1.659208307,       1.098044349,       4.653866704
          0,           0,          81,     -0.8449277468,       1.659232383,       1.101566714,       4.657727729
          0,           0,          82,     -0.8635040205,       1.662443967,       1.108733785,       4.666440376
          0,           0,          83,     -0.8833317647,       1.669843886,       1.123945701,       4.674984881
          0,           0,          84,     -0.9054409427,       1.672933516,       1.144075317,       4.683213696
          0,           0,          85,      -0.931037161,       1.672042622,       1.156504319,       4.687712007
          0,           0,          86,     -0.9636259086,        1.65755094,         1.1659933,       4.682358966
