VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.475100646,       1.522417098,      0.7797668663,       4.382602437
          0,           0,           1,      -1.518994241,       1.486490647,      0.7621313356,       4.349802671
          0,           0,           2,      -1.577078578,       1.427899609,      0.8450208173,       4.290882496
          0,           0,           3,      -1.610593721,       1.369553064,      0.8916610708,       4.224327773
          0,           0,           4,       -1.60505795,       1.299650969,      0.8766582013,       4.152843264
          0,           0,           5,      -1.592310067,       1.235741961,      0.8684159945,       4.098673745
          0,           0,           6,      -1.548013478,       1.233360447,      0.8979212916,       4.126573573
          0,           0,           7,      -1.449995835,       1.328633443,      0.9596981675,       4.245512964
          0,           0,           8,      -1.527685654,       1.255328461,      0.8695387652,       4.152566173
          0,           0,           9,        -1.5526369,       1.230464925,      0.8176081571,       4.131204667
          0,           0,          10,      -1.618415687,       1.197697612,       0.806364018,       4.076054021
          0,           0,          11,      -1.644759419,       1.199819726,      0.7952645537,       4.069284036
          0,           0,          12,      -1.689073679,       1.175175695,      0.7441959257,       4.019361491
          0,           0,          13,      -1.682340567,       1.181428241,       0.727151528,       4.033196067
          0,           0,          14,      -1.644924936,       1.210584742,      0.7605055723,       4.074540249
          0,           0,          15,      -1.683986099,       1.182045941,      0.7146312465,        4.02535657
          0,           0,          16,      -1.690597809,       1.176889674,      0.7009386166,       4.017406441
          0,           0,          17,      -1.651183686,       1.208338469,      0.7500692299,       4.066717765
          0,           0,          18,      -1.698421063,       1.175049629,      0.7034350921,       4.011291694
          0,           0,          19,       -1.69529855,       1.176451921,      0.7064209178,       4.016164528
          0,           0,          20,      -1.729444954,       1.151628088,      0.6566150922,       3.974116424
          0,           0,          21,      -1.734737867,        1.14549741,      0.6473765542,       3.967975226
          0,           0,          22,      -1.714793739,       1.162465064,      0.6629818415,       3.994520632
          0,           0,          23,        -1.7444852,        1.13312128,      0.6132923098,       3.956762204
          0,           0,          24,      -1.743071087,       1.135565504,      0.6014974653,       3.955587255
          0,           0,          25,      -1.711065534,        1.15566875,      0.6513929622,        3.99580594
          0,           0,          26,      -1.756001368,        1.12473626,      0.6102739269,       3.940592673
