"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     0.02724168809,       2.821691926,      -12.31018473,       5.674194481
          0,           0,           1,      0.0131162474,       2.811483258,      0.3136633057,       5.663574934
          0,           0,           2,   -0.005768271101,        2.79718629,      0.5518537622,       5.647358087
          0,           0,           3,    -0.02687375152,        2.77971672,      0.7133065113,       5.627498982
          0,           0,           4,    -0.04950107791,       2.760041464,      0.7891828603,       5.605021728
          0,           0,           5,    -0.07413804317,       2.737891219,      0.8271958124,       5.579680882
          0,           0,           6,     -0.1009421112,       2.713087349,      0.8628498644,       5.551459993
          0,           0,           7,     -0.1295487227,       2.685882345,      0.9088198012,       5.520966167
          0,           0,           8,     -0.1579241897,       2.658558752,      0.9629575717,       5.490401046
          0,           0,           9,     -0.1871323783,       2.630174376,       1.011112258,       5.458628996
          0,           0,          10,      -0.217709873,       2.600188492,       1.054795236,       5.425085328
          0,           0,          11,     -0.2500300711,       2.568245527,       1.095827976,       5.389416305
          0,           0,          12,      -0.284327547,       2.534104932,       1.134971383,       5.351427114
          0,           0,          13,     -0.3206868709,       2.497609833,       1.172224906,       5.311084395
          0,           0,          14,     -0.3591081685,       2.458694067,       1.207095758,       5.268472152
          0,           0,          15,      -0.399568316,       2.417407927,       1.239015726,       5.223789269
          0,           0,          16,      -0.441925702,       2.374002237,       1.267843537,       5.177529817
          0,           0,          17,     -0.4859690261,       2.328786233,       1.293376758,       5.130312919
          0,           0,          18,     -0.5313363009,       2.282270888,       1.316429831,       5.083020923
          0,           0,          19,     -0.5775129667,       2.235139105,       1.337366577,       5.036699892
          0,           0,          20,     -0.6239984366,       2.188068658,       1.357311334,       4.992170053
          0,           0,          21,     -0.6703675356,       2.141700888,       1.376353988,       4.949872005
          0,           0,          22,     -0.7164865234,       2.096496819,       1.394975853,       4.909662281
          0,           0,          23,     -0.7623134423,       2.052691603,       1.412145321,       4.870947254
          0,           0,          24,     -0.8082788441,       2.010102885,       1.427667338,       4.832368109
          0,           0,          25,      -0.855384403,       1.968058645,       1.440818971,       4.791897249
          0,           0,          26,     -0.9047756576,       1.925380728,       1.450652075,       4.747224822
          0,           0,          27,     -0.9574493985,       1.880780955,       1.457262838,       4.696459106
          0,           0,          28,      -1.013362001,       1.832940025,       1.460207795,       4.638933134
          0,           0,          29,      -1.071226933,        1.78080271,        1.45950623,       4.575504273
          0,           0,          30,      -1.127293004,        1.72357382,       1.454861361,       4.509108302
          0,           0,          31,       -1.17456366,       1.661014814,       1.446603046,       4.445797634
          0,           0,          32,      -1.204957308,       1.594000094,       1.435637318,       4.394230723
          0,           0,          33,      -1.216413754,       1.524231535,       1.422947414,       4.359348491
          0,           0,          34,      -1.215142932,       1.453622095,       1.409681336,        4.33767125
          0,           0,          35,       -1.20938726,       1.383956049,       1.398117624,       4.321767488
          0,           0,          36,      -1.205762971,       1.318348704,       1.390338802,       4.305218652
          0,           0,          37,       -1.20690146,       1.262210155,        1.38785036,       4.285806623
          0,           0,          38,      -1.211554393,       1.224274943,       1.393281533,       4.265956798
          0,           0,          39,       -1.21718416,       1.216905819,       1.407457699,       4.250950987
          0,           0,          40,      -1.248075245,        1.18765194,        1.39190057,       4.196574169
          0,           0,          41,      -1.258615301,       1.183393936,       1.391580809,       4.175079411
          0,           0,          42,      -1.260779505,       1.189140565,        1.39480896,        4.16821469
          0,           0,          43,      -1.259529026,       1.198184567,       1.399807959,       4.167304902
          0,           0,          44,      -1.256810137,       1.207355214,       1.405997766,       4.168558473
          0,           0,          45,      -1.253054919,       1.216198405,       1.413019545,       4.171173387
          0,           0,          46,      -1.248602829,       1.225548572,       1.420631204,       4.174861657
          0,           0,          47,      -1.244019973,       1.236592487,       1.428682963,       4.179019171
          0,           0,          48,      -1.239656617,       1.250265904,       1.437562403,       4.183302709
          0,           0,          49,      -1.235176065,        1.26641117,       1.448163598,       4.188088781
          0,           0,          50,      -1.230474426,       1.284566082,       1.458240603,       4.193608077
          0,           0,          51,      -1.226458738,       1.304173403,       1.468768756,       4.199128665
          0,           0,          52,      -1.221630737,       1.324207725,       1.473355553,       4.206239858
          0,           0,          53,      -1.218163267,       1.344636285,       1.484302698,        4.21308413
          0,           0,          54,      -1.214001203,       1.363781975,       1.496985147,       4.221568052
          0,           0,          55,      -1.213086824,       1.387292995,       1.510582973,       4.228222642
          0,           0,          56,      -1.212167511,       1.400784473,       1.504631254,       4.234148364
          0,           0,          57,      -1.214923591,       1.415104839,       1.512110477,       4.236542585
          0,           0,          58,      -1.218082025,       1.418806431,       1.518899659,       4.236447124
          0,           0,          59,      -1.224985295,        1.43819414,       1.526913979,        4.23380715
          0,           0,          60,      -1.233165106,        1.43114507,       1.517877521,       4.226636592
          0,           0,          61,      -1.244109821,       1.437034369,       1.516855794,       4.219400225
          0,           0,          62,      -1.246675218,       1.427584237,       1.479547271,       4.213284208
          0,           0,          63,      -1.245821867,       1.427601865,       1.477631715,       4.212773158
          0,           0,          64,      -1.242299552,       1.428452758,       1.487476907,       4.214846139
          0,           0,          65,      -1.238941468,       1.432139341,        1.48443774,       4.216759377
          0,           0,          66,      -1.236054203,       1.432954563,       1.489677414,       4.217448191
          0,           0,          67,      -1.232860745,        1.43673325,       1.492010352,       4.218528583
          0,           0,          68,      -1.230522176,       1.436530334,       1.484996856,       4.218041164
          0,           0,          69,      -1.227047065,       1.437609134,       1.499728574,       4.218396418
          0,           0,          70,      -1.225505348,       1.444283171,       1.508949514,        4.21831772
          0,           0,          71,      -1.220847884,        1.44068523,        1.49649596,       4.219514123
          0,           0,          72,      -1.220261105,       1.447424748,       1.501041966,       4.218272917
          0,           0,          73,      -1.215928124,       1.445094955,       1.498973155,       4.220026438
          0,           0,          74,      -1.212724684,       1.451074364,       1.497572235,       4.221916576
          0,           0,          75,      -1.209846075,       1.452479835,       1.487825894,       4.223648187
          0,           0,          76,      -1.205905485,       1.454430546,       1.497199202,       4.227172071
          0,           0,          77,      -1.203105669,       1.462048146,       1.494997464,       4.230993344
          0,           0,          78,      -1.201971612,       1.463995923,       1.493926454,       4.233346511
          0,           0,          79,      -1.201269742,       1.463621089,       1.476626448,       4.235177608
          0,           0,          80,      -1.203324182,       1.470862952,       1.487813424,       4.235622509
          0,           0,          81,      -1.204036578,       1.469522774,       1.476214912,       4.235812852
          0,           0,          82,      -1.208458883,       1.475158501,       1.474567762,       4.234073855
          0,           0,          83,      -1.215916074,       1.476730377,       1.473977185,       4.229848228
          0,           0,          84,      -1.225808325,        1.47038288,       1.460094847,       4.221998213
