"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     0.02839417346,         2.8201347,      -2.967592561,       5.673359365
          0,           0,           1,     0.01426656333,       2.812798257,      0.3609073372,       5.663968675
          0,           0,           2,   -0.004661107789,       2.801021061,      0.6012058648,       5.648906385
          0,           0,           3,    -0.02609046423,       2.785231935,      0.7554289477,       5.629722885
          0,           0,           4,    -0.04927326399,       2.766067827,      0.8301726686,       5.607257724
          0,           0,           5,    -0.07453707714,       2.742936554,      0.8668517294,       5.581161622
          0,           0,           6,     -0.1017058784,       2.716424583,      0.8929782194,       5.551957506
          0,           0,           7,     -0.1305597742,       2.687342525,      0.9271099543,       5.520379723
          0,           0,           8,     -0.1590276875,       2.658214374,      0.9771797225,       5.488781102
          0,           0,           9,     -0.1881344177,       2.628256801,       1.027795515,       5.456161912
          0,           0,          10,     -0.2184240832,       2.596975912,        1.07614401,       5.422009526
          0,           0,          11,     -0.2508841998,        2.56395489,       1.121756946,       5.385574683
          0,           0,          12,     -0.2852885261,       2.529007805,       1.164350447,       5.347003139
          0,           0,          13,     -0.3216888402,       2.492035791,        1.20336568,       5.306336677
          0,           0,          14,     -0.3600600072,       2.453055541,       1.238607806,       5.263744867
          0,           0,          15,     -0.4004046988,       2.412204806,       1.269770822,       5.219470328
          0,           0,          16,     -0.4425955787,       2.369783648,       1.296871997,       5.174034713
          0,           0,          17,     -0.4864950581,       2.326051032,       1.319921555,       5.127971479
          0,           0,          18,     -0.5317641381,       2.281377421,        1.33991122,       5.082045262
          0,           0,          19,     -0.5779605446,       2.236171907,       1.357795341,       5.037050185
          0,           0,          20,     -0.6246754333,       2.190796704,       1.375104577,        4.99353221
          0,           0,          21,     -0.6714455919,       2.145670498,       1.392161741,       4.951838351
          0,           0,          22,     -0.7179331447,       2.101175801,       1.409392788,        4.91193785
          0,           0,          23,     -0.7640291954,       2.057570918,       1.425709891,       4.873347602
          0,           0,          24,     -0.8100396033,       2.014819846,       1.440747333,       4.834915358
          0,           0,          25,     -0.8568907732,       1.972412254,       1.453783475,       4.794737462
          0,           0,          26,     -0.9056934015,        1.92940581,       1.463620506,       4.750613466
          0,           0,          27,     -0.9573881003,       1.884538511,       1.470560747,        4.70060402
          0,           0,          28,      -1.011969758,         1.8365199,       1.473979569,       4.643950969
          0,           0,          29,      -1.068053492,       1.784245554,       1.473710641,       4.581553186
          0,           0,          30,      -1.122199729,       1.726838217,       1.469419164,       4.516123286
          0,           0,          31,       -1.16734235,       1.663966582,       1.461389266,       4.453869402
          0,           0,          32,      -1.195440924,       1.596666585,       1.450639009,       4.404086652
          0,           0,          33,      -1.204935208,       1.527088179,        1.43832423,       4.371900361
          0,           0,          34,      -1.203046971,       1.457456331,       1.425634512,       4.352357581
          0,           0,          35,      -1.197605015,        1.38973872,       1.415616881,       4.337441767
          0,           0,          36,      -1.195135929,       1.327562263,        1.41017135,       4.320616366
          0,           0,          37,      -1.196732943,       1.276833924,       1.410386593,       4.301004149
          0,           0,          38,      -1.201339187,       1.246180497,       1.418417277,       4.280853964
          0,           0,          39,      -1.205152404,       1.247317586,       1.436032115,       4.267529787
          0,           0,          40,      -1.242838054,       1.210854991,       1.420747614,       4.206702939
          0,           0,          41,      -1.255472522,       1.204942144,       1.420125596,       4.182964694
          0,           0,          42,       -1.25833293,        1.21058725,       1.423109001,       4.175474764
          0,           0,          43,      -1.257021196,        1.22039551,       1.427890794,       4.174923692
          0,           0,          44,      -1.253720464,       1.230988821,       1.433904095,       4.177151161
          0,           0,          45,      -1.249086243,       1.241734938,       1.440779844,       4.181051785
          0,           0,          46,      -1.243716863,       1.253213955,       1.448192698,       4.186028602
          0,           0,          47,      -1.238248788,       1.266490092,       1.456448062,        4.19148883
          0,           0,          48,       -1.23270127,       1.282231124,       1.464996502,       4.197449382
          0,           0,          49,      -1.227656004,       1.299922167,       1.474286843,       4.203297016
          0,           0,          50,      -1.222764841,       1.318693366,       1.483395503,       4.209414512
          0,           0,          51,      -1.218118609,       1.337933224,        1.49223711,       4.215756851
          0,           0,          52,      -1.213656788,       1.357266931,       1.496205613,       4.222495875
          0,           0,          53,      -1.210960191,       1.376375828,       1.506510303,       4.228273899
          0,           0,          54,      -1.207590894,       1.393532388,       1.518574003,       4.235363556
          0,           0,          55,      -1.208056194,       1.416460423,       1.531885344,       4.240120878
          0,           0,          56,      -1.208418451,       1.428073908,       1.524178595,       4.243945381
          0,           0,          57,      -1.212411699,       1.441707703,       1.531537638,       4.244436808
          0,           0,          58,       -1.21674707,       1.443776308,       1.537797042,       4.241978346
          0,           0,          59,      -1.224862585,       1.463355627,        1.54598279,       4.237370524
          0,           0,          60,      -1.233721981,       1.455100672,       1.537163843,       4.227952908
          0,           0,          61,      -1.244680445,       1.460931999,       1.536370794,        4.21889358
          0,           0,          62,      -1.247038416,        1.45177647,       1.498445123,       4.213206659
