"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.5347183577,       3.154064099,      0.8612704255,       6.059270651
          0,           0,           1,      0.5127858552,       3.137604684,       1.671932925,       6.038261725
          0,           0,           2,      0.4942940676,       3.127542781,       1.520415841,         6.0190761
          0,           0,           3,      0.4779023884,       3.121756831,       1.561114875,       6.000416901
          0,           0,           4,      0.4590947609,        3.11549221,       1.642624647,       5.978151146
          0,           0,           5,      0.4322769076,       3.102916479,       1.737899803,       5.946807481
          0,           0,           6,      0.3918178165,       3.076794098,       1.832075611,       5.900460359
          0,           0,           7,      0.3369872375,       3.031402676,       1.915958664,       5.837884969
          0,           0,           8,      0.2717065032,       2.966276848,       2.004607322,       5.763036864
          0,           0,           9,      0.2039607895,        2.88493777,       2.071887917,       5.686253203
          0,           0,          10,       0.136816163,       2.794803385,       2.126720849,       5.617721167
          0,           0,          11,     0.08062244441,       2.708719697,       2.168850936,       5.573489124
          0,           0,          12,     0.04383944043,       2.642492519,       2.196937209,       5.558259387
          0,           0,          13,     0.02037264471,       2.595338625,       2.214950459,       5.552073593
          0,           0,          14,   -0.004592255838,       2.544822262,       2.226908775,       5.535679477
          0,           0,          15,    -0.02992686542,       2.474410732,       2.233077068,       5.510927564
          0,           0,          16,    -0.04065835555,       2.412976566,       2.237246853,       5.491714346
          0,           0,          17,    -0.03910779551,       2.377038447,       2.227701729,       5.477413835
          0,           0,          18,    -0.03244317564,       2.359825232,       2.212477077,       5.469356115
          0,           0,          19,    -0.02898195543,        2.36375864,        2.19487859,       5.467327202
          0,           0,          20,    -0.04544413891,       2.398436657,       2.172685992,       5.452393639
          0,           0,          21,    -0.07896003909,       2.375164981,       2.010202417,       5.391391921
          0,           0,          22,    -0.09983283353,       2.368902084,       1.885023603,       5.354646351
          0,           0,          23,     -0.1118877807,       2.373737431,       1.803408988,       5.336264268
          0,           0,          24,     -0.1197843323,       2.383234062,       1.759580955,       5.325293181
          0,           0,          25,     -0.1257520012,       2.395018624,       1.746692823,       5.316809366
          0,           0,          26,     -0.1300993097,       2.409083406,       1.754633643,       5.312202451
          0,           0,          27,     -0.1339118786,       2.425390717,       1.774936032,       5.310937767
          0,           0,          28,     -0.1398535519,       2.442885892,       1.807070978,       5.307379435
          0,           0,          29,     -0.1493595238,       2.462466225,       1.844163756,       5.299145694
          0,           0,          30,     -0.1631676446,       2.486020358,       1.883998295,       5.286943691
          0,           0,          31,      -0.183188731,       2.510738636,       1.930936597,       5.269435972
          0,           0,          32,     -0.2093410634,       2.538003556,       1.962164501,       5.251795392
          0,           0,          33,     -0.2401937272,       2.570319239,       1.984212505,       5.237930451
          0,           0,          34,     -0.2774014428,       2.591730186,       2.039048005,       5.224669636
          0,           0,          35,     -0.3096180275,       2.623444019,       2.037694405,       5.235331431
          0,           0,          36,     -0.3411423462,       2.637475867,       2.090167945,       5.246430708
          0,           0,          37,     -0.3537306558,       2.659455149,       2.105582164,       5.282708396
          0,           0,          38,     -0.3575151959,       2.653984737,       2.164433311,       5.301579475
          0,           0,          39,     -0.3429934858,       2.654268369,       2.190265265,       5.342719731
          0,           0,          40,     -0.3503942294,       2.610215755,       2.207057678,       5.332728264
          0,           0,          41,     -0.3462435096,        2.58196655,       2.177479598,       5.338575588
          0,           0,          42,     -0.3465504041,       2.567261133,       2.161900535,       5.334974957
          0,           0,          43,     -0.3817801712,       2.534259271,       2.102512993,       5.291859516
          0,           0,          44,     -0.3968414083,       2.505203198,       2.078902831,       5.269457767
          0,           0,          45,     -0.3920393285,       2.493347699,       2.034504808,       5.260527079
          0,           0,          46,     -0.3670614395,       2.521778734,       1.988808926,       5.279395441
          0,           0,          47,     -0.3829032486,       2.509671504,       1.966615185,       5.260214388
          0,           0,          48,     -0.4240654583,       2.448668246,       1.967551292,       5.214628415
          0,           0,          49,     -0.4382447905,       2.402098376,       1.966975366,       5.195185577
          0,           0,          50,     -0.4141592805,       2.392251331,       1.929242093,       5.211393957
          0,           0,          51,       -0.38766919,       2.412996925,       1.935105362,       5.241291425
          0,           0,          52,     -0.4023296354,       2.411579744,        1.93086102,       5.228383584
          0,           0,          53,     -0.4374981173,        2.37979367,       1.914439116,       5.195860616
