"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.290948034,       1.492764712,       1.074704037,       4.237978896
          0,           0,           1,      -1.296214754,       1.488599856,       1.053896576,       4.224786048
          0,           0,           2,      -1.293361647,       1.490196377,       1.036753612,       4.218039411
          0,           0,           3,      -1.285989451,       1.493395849,        1.02469378,       4.214013723
          0,           0,           4,      -1.274182297,       1.498622008,       1.018861074,       4.211638186
          0,           0,           5,      -1.262095988,       1.508340933,       1.010434817,       4.205474902
          0,           0,           6,      -1.253491669,       1.496905077,      0.9989710177,       4.200272643
          0,           0,           7,      -1.242845213,       1.501990247,      0.9903316523,       4.198279796
          0,           0,           8,      -1.223068912,       1.526170621,      0.9800124679,       4.216720419
          0,           0,           9,      -1.194770505,       1.560345728,      0.9635518876,       4.250924795
          0,           0,          10,      -1.209309841,         1.5547396,      0.9639997189,       4.223542944
          0,           0,          11,      -1.212318286,       1.550498257,      0.9589965673,       4.226151004
          0,           0,          12,       -1.22502273,       1.485508255,      0.9480131257,       4.217132402
          0,           0,          13,      -1.276530786,       1.443891972,      0.9268933824,       4.163184155
          0,           0,          14,      -1.337839266,       1.388591613,      0.8987041956,       4.103231723
          0,           0,          15,      -1.396258237,       1.345759785,       0.872419117,        4.06098081
          0,           0,          16,      -1.421958801,        1.33642966,      0.8370329255,       4.033863714
          0,           0,          17,      -1.435180293,       1.340306476,      0.8297211356,       4.026251673
          0,           0,          18,      -1.472755614,       1.300091125,      0.8315876264,       3.990896332
          0,           0,          19,      -1.508473938,       1.239633186,      0.8353399059,       3.952060802
          0,           0,          20,      -1.509706398,       1.241463645,      0.8386615733,       3.951400042
          0,           0,          21,      -1.493762461,       1.280365426,      0.8424548088,       3.975587897
          0,           0,          22,      -1.457003454,       1.310780808,      0.8545273923,       4.013311733
          0,           0,          23,      -1.414515042,       1.340374712,      0.8641132372,       4.056865028
          0,           0,          24,      -1.386794519,        1.35613696,      0.8862047432,       4.092096413
          0,           0,          25,      -1.365927522,        1.36455537,      0.9045440426,       4.127455389
          0,           0,          26,      -1.364686626,       1.337885171,      0.9250730675,       4.131700051
          0,           0,          27,      -1.325548395,       1.352401431,      0.9525178203,       4.161735211
          0,           0,          28,      -1.270100926,       1.375753197,      0.9954870543,        4.21843184
          0,           0,          29,      -1.232937185,       1.402868659,       1.026185713,       4.262564523
          0,           0,          30,      -1.198685731,       1.406139246,       1.047069064,       4.304837568
          0,           0,          31,      -1.165766473,       1.403370865,       1.054253269,       4.347144614
          0,           0,          32,           -1.1468,       1.396847794,       1.049403927,       4.372489917
          0,           0,          33,      -1.139034498,       1.414132308,       1.084886479,       4.381674044
          0,           0,          34,      -1.118945892,       1.454817131,       1.115705235,       4.400165607
          0,           0,          35,      -1.114921091,       1.459791553,        1.12513377,       4.403320691
          0,           0,          36,      -1.136786033,       1.468231379,       1.182564127,       4.371490834
          0,           0,          37,         -1.113435,       1.509220732,       1.236559333,       4.389302324
          0,           0,          38,      -1.119073389,       1.503868397,       1.243787121,       4.389908512
          0,           0,          39,      -1.106765945,       1.540974986,       1.326696866,       4.419889865
          0,           0,          40,      -1.132721071,       1.506802134,       1.237617807,       4.361246504
          0,           0,          41,      -1.175698532,       1.462544724,       1.141915363,       4.298291305
          0,           0,          42,      -1.220275814,       1.430611985,       1.079548249,       4.244614901
          0,           0,          43,      -1.260468781,        1.41139719,       1.046057962,       4.191656382
          0,           0,          44,      -1.273236525,       1.409128412,       1.019714249,       4.168799922
          0,           0,          45,      -1.267866495,       1.410022869,       1.002809228,       4.184363664
          0,           0,          46,      -1.270291931,        1.40157568,      0.9996099531,       4.194147587
          0,           0,          47,      -1.266708179,       1.400700797,       1.014680198,       4.202119754
          0,           0,          48,      -1.246635888,       1.404686871,       1.013765991,       4.228003612
          0,           0,          49,      -1.232136092,       1.394241117,       1.016127325,       4.251059083
          0,           0,          50,      -1.209572762,        1.38842176,       1.049649181,       4.280386718
          0,           0,          51,      -1.172865799,       1.406650573,       1.093238631,       4.329502595
          0,           0,          52,      -1.136691294,       1.428206608,       1.127002419,       4.378429496
          0,           0,          53,      -1.117212956,       1.451459767,       1.142766007,       4.410999702
          0,           0,          54,      -1.102810116,       1.465249281,       1.156025743,       4.436330891
          0,           0,          55,      -1.092062912,       1.477848768,       1.161257062,       4.455754428
          0,           0,          56,       -1.09002875,       1.487258407,       1.166660437,        4.46332441
          0,           0,          57,      -1.084971229,        1.51363325,       1.179731949,       4.467739335
          0,           0,          58,      -1.081316107,       1.539225248,       1.186997739,       4.464668331
          0,           0,          59,       -1.06980028,       1.574021736,       1.187460299,       4.463374127
          0,           0,          60,      -1.050701199,       1.604074187,       1.197016954,       4.481963322
          0,           0,          61,      -1.032998434,       1.591008128,       1.165917455,       4.506597909
          0,           0,          62,      -1.023266998,       1.598609162,         1.2256914,       4.516097082
          0,           0,          63,     -0.9877734224,       1.656923656,       1.337344655,       4.538529005
          0,           0,          64,     -0.9882377924,       1.633141561,       1.279609629,        4.52530641
          0,           0,          65,     -0.9913987636,       1.624825993,       1.244526403,       4.511842962
          0,           0,          66,      -1.000143927,       1.621230841,       1.236865306,       4.503196977
          0,           0,          67,      -1.025610688,       1.610359156,       1.258438513,       4.477652369
          0,           0,          68,      -1.038488828,       1.606763628,       1.284238899,       4.461514434
          0,           0,          69,      -1.024249786,       1.615768731,       1.268019548,       4.477606399
          0,           0,          70,      -1.010019891,       1.627600443,       1.308879781,        4.49778129
          0,           0,          71,      -1.011136624,       1.633788192,       1.343417748,       4.495046994
          0,           0,          72,      -1.016529708,       1.642866619,       1.339145823,        4.48220385
          0,           0,          73,      -1.019457961,       1.650242627,        1.35258546,       4.473649831
          0,           0,          74,      -1.020596441,       1.652490648,       1.363732458,       4.466326908
          0,           0,          75,      -1.018600795,       1.653635658,       1.367397785,       4.463511915
          0,           0,          76,      -1.000818127,       1.665203896,       1.381409222,        4.48636008
          0,           0,          77,      -1.002947716,       1.672709236,       1.376658547,        4.48248338
          0,           0,          78,      -1.005214994,       1.675605903,       1.372573693,       4.475927979
