"Pressure","Points:0","Points:1","Points:2"
2.9571e+05,0,0,0
2.9571e+05,0.01,0,0
2.9571e+05,0.02,0,0
2.9571e+05,0.03,0,0
2.9571e+05,0.04,0,0
2.957e+05,0.05,0,0
2.957e+05,0.06,0,0
2.9568e+05,0.07,0,0
2.9567e+05,0.08,0,0
2.9564e+05,0.09,0,0
2.9561e+05,0.1,0,0
2.9551e+05,0.11,0,0
2.954e+05,0.12,0,0
2.9518e+05,0.13,0,0
2.9496e+05,0.14,0,0
2.9457e+05,0.15,0,0
2.9417e+05,0.16,0,0
2.9354e+05,0.17,0,0
2.9291e+05,0.18,0,0
2.9162e+05,0.19,0,0
2.9033e+05,0.2,0,0
2.8859e+05,0.21,0,0
2.8686e+05,0.22,0,0
2.8464e+05,0.23,0,0
2.8242e+05,0.24,0,0
2.8031e+05,0.25,0,0
2.782e+05,0.26,0,0
2.7482e+05,0.27,0,0
2.7143e+05,0.28,0,0
2.6716e+05,0.29,0,0
2.6288e+05,0.3,0,0
2.5826e+05,0.31,0,0
2.5364e+05,0.32,0,0
2.4802e+05,0.33,0,0
2.4239e+05,0.34,0,0
2.3671e+05,0.35,0,0
2.3103e+05,0.36,0,0
2.2582e+05,0.37,0,0
2.2062e+05,0.38,0,0
2.1615e+05,0.39,0,0
2.1169e+05,0.4,0,0
2.0644e+05,0.41,0,0
2.0119e+05,0.42,0,0
1.9655e+05,0.43,0,0
1.9191e+05,0.44,0,0
1.871e+05,0.45,0,0
1.8229e+05,0.46,0,0
1.7709e+05,0.47,0,0
1.719e+05,0.48,0,0
1.6735e+05,0.49,0,0
1.6281e+05,0.5,0,0
1.5893e+05,0.51,0,0
1.5506e+05,0.52,0,0
1.5133e+05,0.53,0,0
1.476e+05,0.54,0,0
1.4391e+05,0.55,0,0
1.4021e+05,0.56,0,0
1.3663e+05,0.57,0,0
1.3305e+05,0.58,0,0
1.2964e+05,0.59,0,0
1.2623e+05,0.6,0,0
1.2301e+05,0.61,0,0
1.1979e+05,0.62,0,0
1.1675e+05,0.63,0,0
1.1371e+05,0.64,0,0
1.1082e+05,0.65,0,0
1.0793e+05,0.66,0,0
1.0516e+05,0.67,0,0
1.024e+05,0.68,0,0
99740,0.69,0,0
97083,0.7,0,0
94541,0.71,0,0
91999,0.72,0,0
89575,0.73,0,0
87152,0.74,0,0
84854,0.75,0,0
82556,0.76,0,0
80393,0.77,0,0
78229,0.78,0,0
76202,0.79,0,0
74175,0.8,0,0
72282,0.81,0,0
70389,0.82,0,0
68623,0.83,0,0
66857,0.84,0,0
65210,0.85,0,0
63563,0.86,0,0
62027,0.87,0,0
