"Mach","Pressure","Points:0","Points:1","Points:2"
1.2851,6e+05,0,0,0
1.2851,6e+05,0.01,0,0
1.2851,6e+05,0.02,0,0
1.2851,6e+05,0.03,0,0
1.2851,6e+05,0.04,0,0
1.2852,5.9999e+05,0.05,0,0
1.2852,5.9998e+05,0.06,0,0
1.2852,5.9995e+05,0.07,0,0
1.2852,5.9992e+05,0.08,0,0
1.2853,5.9986e+05,0.09,0,0
1.2854,5.998e+05,0.1,0,0
1.2857,5.9959e+05,0.11,0,0
1.286,5.9938e+05,0.12,0,0
1.2866,5.9893e+05,0.13,0,0
1.2871,5.9848e+05,0.14,0,0
1.2882,5.9768e+05,0.15,0,0
1.2892,5.9688e+05,0.16,0,0
1.2908,5.9559e+05,0.17,0,0
1.2925,5.9431e+05,0.18,0,0
1.2958,5.9169e+05,0.19,0,0
1.2991,5.8907e+05,0.2,0,0
1.3037,5.8555e+05,0.21,0,0
1.3082,5.8204e+05,0.22,0,0
1.314,5.7752e+05,0.23,0,0
1.3198,5.7301e+05,0.24,0,0
1.3255,5.6873e+05,0.25,0,0
1.3311,5.6445e+05,0.26,0,0
1.3401,5.5757e+05,0.27,0,0
1.3491,5.507e+05,0.28,0,0
1.3606,5.4201e+05,0.29,0,0
1.372,5.3333e+05,0.3,0,0
1.3849,5.2395e+05,0.31,0,0
1.3977,5.1457e+05,0.32,0,0
1.4135,5.0315e+05,0.33,0,0
1.4294,4.9172e+05,0.34,0,0
1.4463,4.8018e+05,0.35,0,0
1.4633,4.6865e+05,0.36,0,0
1.4794,4.5808e+05,0.37,0,0
1.4954,4.4751e+05,0.38,0,0
1.5095,4.3844e+05,0.39,0,0
1.5236,4.2938e+05,0.4,0,0
1.5411,4.1872e+05,0.41,0,0
1.5586,4.0806e+05,0.42,0,0
1.5746,3.9863e+05,0.43,0,0
1.5906,3.892e+05,0.44,0,0
1.6078,3.7944e+05,0.45,0,0
1.6251,3.6967e+05,0.46,0,0
1.6445,3.5912e+05,0.47,0,0
1.6639,3.4857e+05,0.48,0,0
1.6816,3.3934e+05,0.49,0,0
1.6993,3.3012e+05,0.5,0,0
1.7153,3.2224e+05,0.51,0,0
1.7313,3.1437e+05,0.52,0,0
1.7475,3.068e+05,0.53,0,0
1.7636,2.9922e+05,0.54,0,0
1.7803,2.9173e+05,0.55,0,0
1.797,2.8423e+05,0.56,0,0
1.8139,2.7695e+05,0.57,0,0
1.8309,2.6968e+05,0.58,0,0
1.8478,2.6276e+05,0.59,0,0
1.8647,2.5585e+05,0.6,0,0
1.8815,2.4931e+05,0.61,0,0
1.8983,2.4277e+05,0.62,0,0
1.9149,2.3659e+05,0.63,0,0
1.9316,2.3042e+05,0.64,0,0
1.9483,2.2455e+05,0.65,0,0
1.965,2.1868e+05,0.66,0,0
1.9818,2.1306e+05,0.67,0,0
1.9986,2.0744e+05,0.68,0,0
2.0155,2.0205e+05,0.69,0,0
2.0325,1.9666e+05,0.7,0,0
2.0496,1.915e+05,0.71,0,0
2.0667,1.8634e+05,0.72,0,0
2.0838,1.8142e+05,0.73,0,0
2.101,1.765e+05,0.74,0,0
2.1181,1.7183e+05,0.75,0,0
2.1353,1.6717e+05,0.76,0,0
2.1523,1.6278e+05,0.77,0,0
2.1693,1.5838e+05,0.78,0,0
2.1861,1.5427e+05,0.79,0,0
2.203,1.5015e+05,0.8,0,0
2.2195,1.4631e+05,0.81,0,0
2.2361,1.4247e+05,0.82,0,0
2.2523,1.3888e+05,0.83,0,0
2.2686,1.3529e+05,0.84,0,0
2.2845,1.3195e+05,0.85,0,0
2.3005,1.2861e+05,0.86,0,0
2.3162,1.2549e+05,0.87,0,0
2.3318,1.2237e+05,0.88,0,0
2.3472,1.1946e+05,0.89,0,0
2.3625,1.1655e+05,0.9,0,0
2.3776,1.1383e+05,0.91,0,0
2.3927,1.111e+05,0.92,0,0
2.4075,1.0855e+05,0.93,0,0
2.4223,1.06e+05,0.94,0,0
