"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,    -0.03139610797,       2.704423062,       1.435179839,       5.514138246
          0,           0,           1,     -0.0497895241,         2.6884131,       1.259736129,       5.496790212
          0,           0,           2,    -0.07577419141,        2.66569112,       1.130555019,       5.470129952
          0,           0,           3,     -0.1110083172,        2.63345791,       1.065870001,       5.432034516
          0,           0,           4,     -0.1593979064,       2.587628096,       1.048822486,       5.378410275
          0,           0,           5,     -0.2253452104,       2.522678118,       1.052562618,       5.304537858
          0,           0,           6,      -0.310578273,       2.435159432,       1.070557796,       5.210830485
          0,           0,           7,     -0.3797722948,       2.362730737,       1.098103711,       5.139641258
          0,           0,           8,     -0.4343903678,       2.305350553,       1.131181092,       5.087519186
          0,           0,           9,     -0.4789797677,       2.258669039,       1.166146297,       5.047836674
          0,           0,          10,     -0.5166412608,       2.219696998,       1.200110426,       5.016515099
          0,           0,          11,     -0.5491887431,       2.186459669,       1.231760194,       4.990796079
          0,           0,          12,     -0.5779419282,       2.157422638,       1.260121123,       4.968479153
          0,           0,          13,     -0.6041345513,       2.131242883,       1.285019915,       4.947867621
          0,           0,          14,     -0.6285947131,       2.106924352,       1.306319982,       4.928094003
          0,           0,          15,     -0.6521089138,        2.08355541,        1.32496105,       4.908455254
          0,           0,          16,     -0.6752617333,       2.060618667,       1.340804281,       4.888703868
          0,           0,          17,      -0.698678513,       2.037719864,       1.354207293,       4.868515542
          0,           0,          18,     -0.7226533083,       2.014617976,       1.365770711,       4.847704095
          0,           0,          19,     -0.7473674911,       1.991041047,       1.376086705,       4.825957321
          0,           0,          20,     -0.7730645795,       1.966587129,       1.385772993,       4.802783137
          0,           0,          21,     -0.7998314917,        1.94112806,       1.395526893,       4.778187798
          0,           0,          22,     -0.8281033307,       1.914282875,       1.405548263,       4.751621829
          0,           0,          23,     -0.8587012265,       1.885708416,       1.414918732,       4.722083805
          0,           0,          24,     -0.8927871451,        1.85482939,       1.422993248,        4.68807326
          0,           0,          25,     -0.9313816847,        1.82075647,       1.428254865,       4.648020936
          0,           0,          26,     -0.9751824278,       1.782846158,       1.430068018,        4.60121925
          0,           0,          27,       -1.02419416,       1.740448958,       1.428375302,       4.548493722
          0,           0,          28,      -1.077479345,       1.693230158,       1.423106751,       4.492559199
          0,           0,          29,      -1.132568465,        1.64114209,       1.413640837,       4.437517481
          0,           0,          30,      -1.182701787,       1.584897047,       1.400194693,       4.390075128
          0,           0,          31,      -1.218217875,        1.52627162,        1.38387491,       4.356310624
          0,           0,          32,       -1.23413337,       1.467681073,       1.367032238,       4.335728108
          0,           0,          33,      -1.237743713,       1.411010893,        1.35134778,       4.319932912
          0,           0,          34,      -1.240360667,       1.357215615,       1.338106204,       4.300839931
          0,           0,          35,       -1.24715377,        1.30783974,       1.329763502,       4.276130011
          0,           0,          36,      -1.255497691,        1.26785062,       1.329041426,       4.249737681
          0,           0,          37,      -1.257562679,       1.244084799,       1.337881312,       4.229989338
          0,           0,          38,      -1.249481007,        1.24191779,       1.357227702,       4.222226785
          0,           0,          39,      -1.235582998,       1.263965581,       1.382915016,       4.224822123
          0,           0,          40,      -1.237078452,        1.29430412,       1.396356053,       4.213798221
          0,           0,          41,      -1.235191465,       1.332125733,       1.410485743,       4.211142677
          0,           0,          42,      -1.292765218,       1.325316674,       1.386465933,       4.132109184
          0,           0,          43,      -1.304319296,       1.328630715,       1.385263471,       4.108451285
          0,           0,          44,      -1.302380801,        1.33488361,       1.387965545,        4.10339067
          0,           0,          45,      -1.296485529,       1.342010921,       1.391912403,       4.104312003
          0,           0,          46,       -1.28889017,       1.349409899,       1.396744833,        4.10797141
          0,           0,          47,      -1.280089639,       1.357113146,       1.402125093,       4.113696443
          0,           0,          48,      -1.270685267,       1.365535488,       1.407701595,       4.120627596
          0,           0,          49,      -1.261121962,       1.375118713,       1.413490276,       4.128062579
          0,           0,          50,      -1.251481303,        1.38584746,       1.419399049,       4.135891824
          0,           0,          51,      -1.241841083,       1.397651561,       1.425443882,       4.144106117
          0,           0,          52,      -1.232513369,       1.409870703,        1.43128109,       4.152566775
          0,           0,          53,      -1.223737204,       1.421801004,        1.43644315,       4.160862044
