"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.6063096672,       3.324840691,       -1.92783517,       6.095791954
          0,           0,           1,      0.5892892713,       3.313193978,       0.890570629,        6.08011903
          0,           0,           2,      0.5655635047,       3.294030503,       1.159986147,       6.055500193
          0,           0,           3,      0.5327502184,       3.264734104,       1.292044968,       6.019246283
          0,           0,           4,      0.4876620639,       3.221173883,        1.38975718,       5.967573712
          0,           0,           5,      0.4267562863,        3.15977814,       1.462887236,       5.897070982
          0,           0,           6,      0.3472048379,        3.07649877,       1.532853404,       5.806382903
          0,           0,           7,      0.2756463344,       2.999808619,       1.600283543,       5.729361667
          0,           0,           8,      0.2187222435,       2.939196233,       1.661802125,       5.672849137
          0,           0,           9,      0.1713289063,       2.890145013,       1.715990958,       5.629670158
          0,           0,          10,      0.1303731852,        2.84918904,       1.762878516,       5.595430948
          0,           0,          11,     0.09434207921,       2.814142578,       1.803253897,       5.567337942
          0,           0,          12,     0.06215086973,       2.783473147,       1.837504832,       5.543149111
          0,           0,          13,     0.03282847193,       2.755894636,       1.866585498,       5.521077831
          0,           0,          14,    0.005657473675,       2.730387863,       1.890952304,        5.50009649
          0,           0,          15,    -0.02004217449,        2.70614926,        1.91194055,        5.47963076
          0,           0,          16,    -0.04493138227,       2.682550356,       1.929629679,       5.459296063
          0,           0,          17,    -0.06970401432,       2.659168718,       1.944688975,       5.438763962
          0,           0,          18,     -0.0947963631,        2.63567072,       1.957494907,       5.417667029
          0,           0,          19,     -0.1204499398,       2.611734251,        1.96891474,       5.395579306
          0,           0,          20,     -0.1469357447,       2.586996754,        1.97929319,       5.371956889
          0,           0,          21,     -0.1743164675,       2.561308081,       1.989186913,       5.346827425
          0,           0,          22,     -0.2029373035,       2.534385444,       1.999083103,       5.319746516
          0,           0,          23,     -0.2336066235,       2.505873344,       2.007830899,         5.2894604
          0,           0,          24,      -0.267417946,       2.475097874,       2.015075048,       5.254168189
          0,           0,          25,     -0.3053598069,       2.441497288,         2.0195871,       5.212487952
          0,           0,          26,     -0.3483499034,       2.404312678,       2.021398378,        5.16348879
          0,           0,          27,     -0.3967613248,       2.363166688,        2.01991004,       5.108325294
          0,           0,          28,      -0.450170265,       2.317985137,       2.015059427,       5.050349397
          0,           0,          29,     -0.5064466887,       2.269150017,       2.006554664,       4.994849254
          0,           0,          30,     -0.5607308313,       2.217758931,       1.994857842,        4.94796862
          0,           0,          31,      -0.606276036,       2.165583503,         1.9813093,       4.913122955
          0,           0,          32,     -0.6389309113,       2.114463812,       1.967382819,       4.886978396
